Id,Community
1133737532443766784,0
18839785,0
249520655,0
120649992,0
1289235667516456962,0
147994804,0
322430350,0
355989081,0
702001481247911936,0
1323885145577807872,0
1324334436,0
1657730988,1
2150403589,0
2289628938,0
2451476942,0
37034483,0
39743812,0
44839509,0
45261768,1
887606425479856128,0
1065563383,0
143409262,0
43077446,0
1934388686,0
2512765266,0
318673863,0
1897514666,0
146360682,0
4255658358,0
941134694,1
138822469,0
1368737382,0
974143844,0
20751449,0
3241214268,0
34245009,0
44425241,0
61121030,0
1100927498,0
1247238336084729856,0
137656171,0
253512688,0
3582554773,0
53313935,0
711760467383877632,0
2590932906,0
28082599,0
390677061,0
1318769408613863426,0
635895185,0
1184085522248949760,0
469503746,1
571479724,0
285655507,0
797720168713441280,0
129057534,0
161634802,0
313385516,0
65851020,0
131188226,0
107724957,0
368753165,0
52119862,0
16404141,0
3489768920,0
735095544,0
74980737,0
811972460560019456,0
240649814,0
245687754,0
738149822,0
74995974,0
332188446,0
77732185,0
1234525248491442179,0
389013000,0
75193964,0
17741799,0
1112714156887543808,0
75489786,0
1349124297034498049,0
2596143056,0
50944856,0
105130840,0
125672370,0
18373968,0
198030688,0
215685563,0
29398579,0
3018719294,0
303783976,0
438525539,0
77509999,0
1487431723,0
207809313,0
817976607398731776,0
834833150,0
283632721,0
36327407,0
134758540,0
165506153,0
385660566,0
1591419488,0
2686834802,0
46645746,0
937664212511309827,0
158588740,0
54936590,0
804003606001106944,0
42043572,0
111872402,0
1642669674,0
171355391,0
2166444230,0
122959195,0
50279781,0
258370261,0
775921502642241536,0
856530759116402690,1
108391251,0
113568312,0
160509668,0
2570829264,0
337065278,0
725003596811620353,0
103237946,0
1349149096909668363,2
70121276,0
1134423305790795776,0
225012752,0
1098694358037983233,0
39344374,3
1115874631,2
391901721,0
56039856,0
844191238991503360,0
44356836,0
2312262702,0
99146923,0
44588485,0
84021687,0
1103843394109857793,0
104473820,0
1890327224,0
236457592,0
2222673457,0
109554990,4
14499829,2
189868631,4
2412739760,4
33933259,4
544389588,4
