Id,Community,retweeted_screen_name,Text,Time
3241214268,0,KirenRijiju,"RT @KirenRijiju: A leader who shows the way. Hon'ble PM @narendramodi Ji took his first dose of the COVID-19 vaccine at AIIMS. 
Thank you d…",2021-03-01T03:27:40.000Z
34245009,0,indiatvnews,"RT @indiatvnews: PM Narendra Modi takes first dose of COVID-19 vaccine at Delhi's AIIMS
https://t.co/H2ZBbYflj3",2021-03-01T03:25:00.000Z
44425241,0,AdityaRajKaul,"RT @AdityaRajKaul: Prime Minister of India @narendramodi takes Made in India #COVID19 vaccine #Covaxin of Bharat Biotech at AIIMS, New Delh…",2021-03-01T05:32:47.000Z
61121030,0,annamalai_k,"RT @annamalai_k: A people’s leader waits for his turn like a commoner

Reassures India by taking a vaccine made in India India &amp; for India…",2021-03-01T04:32:27.000Z
1100927498,0,DDNewslive,RT @DDNewslive: PM @narendramodi takes #COVAXIN as nationwide drive to cover senior citizen begins. PM hails doctors and scientists for the…,2021-03-01T03:25:18.000Z
1247238336084729856,0,jeevandayni,RT @jeevandayni: Take the vax 👍 https://t.co/dDR8jZ65BW,2021-03-01T02:28:26.000Z
137656171,0,ashishchauhan,"RT @ashishchauhan: Leading by example! 

PM shri @narendramodi ji taking a made in India vaccine shot which automatically rubbishes all the…",2021-03-01T05:46:43.000Z
253512688,0,IamNaveenKapoor,"RT @IamNaveenKapoor: Lot of questions were raised on no data available for Bharat biotech and it was termed unsafe , some even term ‘BJP Va…",2021-03-01T04:28:20.000Z
3582554773,0,rohanduaT02,"RT @rohanduaTOI: Honest to his connection with masses, message to society as PM &amp; committed to his own party at same time:

1. PM @narendra…",2021-03-01T05:12:52.000Z
53313935,0,tehseenp,RT @tehseenp: Glad the the Hon'ble PM took the #COVID19Vaccination. This will encourage our fellow citizens to take the vaccine &amp;  help mak…,2021-03-01T07:31:09.000Z
711760467383877632,0,WIONews,"RT @WIONews: Argentines are protesting the ""VIP vaccine"" scandal | Thousands joined protests in Buenos Aires against preferential access to…",2021-03-01T03:02:25.000Z
2590932906,0,BharatBiotech,RT @BharatBiotech: A moment of pride and accomplishment as the first consignment of COVAXIN™ is dispatched from Bharat Biotech today at 1:0…,2021-03-01T06:51:15.000Z
28082599,0,Rajeev_GoI,RT @rajeev_mp: Proud moment for all of #Puducherry as Sister P Niveda who hails from Puducherry administered #MadeInindia Covaxin vaccine t…,2021-03-01T08:18:50.000Z
390677061,0,Tejasvi_Surya,"RT @Tejasvi_Surya: 3 messages in one act.

1. PM didn’t jump queue. 
Took his vaccine only when all senior citizens were eligible.

2. Boos…",2021-03-01T08:33:32.000Z
1318769408613863426,0,FrontalForce,"RT @FrontalForce: All BJP MLAs, MPs above 60 years of age asked to pay for vaccination. Narendra Modi, Leading by example.",2021-03-01T13:09:48.000Z
635895185,0,RShivshankar,RT @RShivshankar: PM Modi's decision to take Bharat Biotech's vaccine is a shot in the arm for Atmanirbhar Bharat. It will also lay to rest…,2021-03-01T08:59:16.000Z
1184085522248949760,0,DrDeepakKrishn1,RT @DrDeepakKrishn1: An algorithm for Covid vaccine in patients on blood thinners. Consult your physician or Cardiologist before getting va…,2021-03-01T07:18:56.000Z
469503746,1,DrJoyeeta,RT @DrJoyeeta: FDA issues emergency approval to Johnson and Johnson vaccine . This vaccine has 65% efficacy against SA variant and needs ju…,2021-03-01T12:47:42.000Z
571479724,0,HaryaxPathak,"RT @HaryaxPathak: My article on @orfonline. Do read and share.

Addressing COVID19 and vaccine-related misinformation
 https://t.co/WLFGkb2…",2021-03-01T23:12:31.000Z
285655507,0,ippatel,"RT @ippatel: After PM took Vaccine, Now
All BJP MPs &amp; Ministers will take Covid vaccine in their respective constituencies to build confide…",2021-03-01T08:47:27.000Z
797720168713441280,0,theskindoctor13,"RT @theskindoctor13: ""Modi doesn't have abs. That's why he took vaccine on the arm. I'll take vaccine on one of my 8 packs. Thereafter I'll…",2021-03-01T06:32:05.000Z
129057534,0,sgurumurthy,"RT @sgurumurthy: Modi is taking Covaxin, the 100% home grown vaccine. That should have been the headline.                    PM Modi's Mess…",2021-03-01T06:13:16.000Z
161634802,0,nistula,RT @nistula: Many symbols from states of ongoing poll fights in PM @narendramodi ‘s vaccine taking event- he is wearing an Assamese gamcha…,2021-03-01T13:28:40.000Z
313385516,0,NavroopSingh_,RT @NavroopSingh_: Pfizer demands governments gamble with state assets to secure vaccine deal - Pfizer made unexpected request to Brazil &amp;…,2021-03-01T13:10:28.000Z
65851020,0,Trendulkar,"RT @Trendulkar: [Evolution of so-called experts on Twitter]

- OMG Covid is out of control in India

- Where is the vaccine?

- Made in Ind…",2021-03-01T18:06:26.000Z
131188226,0,himantabiswa,RT @himantabiswa: We feel immensely happy and blessed that Hon PM Sri @narendramodi chose to wear a Gamosa while getting his first dose of…,2021-03-01T07:06:53.000Z
107724957,0,kansaratva,"RT @kansaratva: Had Nehru been alive he would have never taken the vaccine the way Modi did today.

Nehru would have sent an aircraft.",2021-03-01T21:33:38.000Z
368753165,0,divya_16_,RT @divya_16_: God level surrogate marketing 🤣,2021-03-01T10:01:00.000Z
52119862,0,neelang_dave,RT @neelang_dave: My parents didn't just get Vaccinated against #COVID19 on the Same day but Within just 3 hours of Registration on https:/…,2021-03-01T08:28:57.000Z
16404141,0,vivekagnihotri,"RT @vivekagnihotri: After seeing this my 95 yr old otherwise stubborn father in law has also decided to get vaccinated. 

Inspiration has m…",2021-03-01T07:45:19.000Z
3489768920,0,Naveen_Odisha,"RT @Naveen_Odisha: Happy to share that I took my first dose of #COVID19 vaccine today. Grateful to our scientists, health workers for their…",2021-03-01T06:32:52.000Z
735095544,0,Sunil_Deodhar,"RT @Sunil_Deodhar: Leading from front, PM @narendramodi took his first dose of #CovidVaccine
👉 At AIIMS, like a common man
👌When his turn c…",2021-03-01T03:47:42.000Z
74980737,0,OpIndia_com,RT @OpIndia_com: PM Modi takes the first dose of Made-in-India Bharat Biotech's COVAXIN vaccine as second phase of Covid-19 vaccination sta…,2021-03-01T03:27:07.000Z
811972460560019456,0,republic,RT @republic: PM Modi takes first dose of COVID-19 vaccine at AIIMS as 2nd phase of inoculation begins https://t.co/wct7MKlRWg,2021-03-01T02:56:13.000Z
240649814,0,TimesNow,RT @TimesNow: Akhilesh Yadav had raised the questions on the vaccine by calling it a 'BJP vaccine'. These people see party interest above n…,2021-03-01T16:38:48.000Z
245687754,0,PTI_News,RT @PTI_News: PM Narendra Modi takes first dose of COVID-19 vaccine at AIIMS,2021-03-01T03:26:56.000Z
738149822,0,vinayak_jain,RT @vinayak_jain: The Prime Minister posting a click of getting vaccinated to reflect he has complete faith in an India-made vaccine is PR.…,2021-03-01T07:07:58.000Z
74995974,0,AshwiniMS_TNIE,"RT @AshwiniMS_TNIE: Narayana Murthy and Sudha Murthy of Infosys took covid vaccine at Narayana health city on Monday

@NewIndianXpress @san…",2021-03-01T22:23:56.000Z
332188446,0,milinddeora,"RT @milinddeora: Entertainers, sportsmen &amp; political leaders from all parties must join in &amp; get vaccinated on camera.

This PR outreach is…",2021-03-01T05:29:13.000Z
77732185,0,drharshvardhan,"RT @drharshvardhan: Leading by example yet again, is our beloved PM Sh @narendramodi Ji

With every jab of #COVID19Vaccine administered, we…",2021-03-01T08:37:05.000Z
1234525248491442179,0,ipritishthakare,"RT @PritishThakare: Being a Modi is very tough job!

Modi takes the vaccine

""See, he only cares about himself.""

Modi takes the Bharat Bio…",2021-03-01T06:39:30.000Z
389013000,0,rkalia80,RT @rkalia80: Got my parents vaccinated earlier today...a smooth n hassle free experience ..Dad was excited to know that he is getting the…,2021-03-01T14:50:00.000Z
